BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16048,10, ,B2,69-43 ALMEDA AVENUE                      ,            ,11692,2,0,2,3035,1848,2003,1,B2,282000,2011-02-11
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16048,12, ,B2,69-35 ALMEDA AVENUE                      ,            ,11692,2,0,2,3000,1740,2005,1,B2,168000,2011-06-08
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16048,37, ,B3,6916 BURCHELL                            ,            ,11692,2,0,2,4400,2416,1915,1,B3,243259,2011-05-06
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16050,44, ,B2,69-26 THURSBY AVENUE                     ,            ,11692,2,0,2,4000,2946,1915,1,B2,0,2011-02-02
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16050,44, ,B2,69-26 THURSBY AVENUE                     ,            ,11692,2,0,2,4000,2946,1915,1,B2,0,2011-02-01
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16050,57, ,B3,69-44 THURSBY AVENUE                     ,            ,11692,2,0,2,2500,1500,1915,1,B3,250000,2011-06-21
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16051,1, ,B9,69-53 THURSBY AVENUE                     ,            ,11692,2,0,2,3000,2068,1950,1,B9,35000,2011-11-29
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16051,1, ,B9,69-53 THURSBY AVENUE                     ,            ,11692,2,0,2,3000,2068,1950,1,B9,140000,2011-11-29
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16058,23, ,B2,72-28 ALMEDA AVENUE                      ,            ,11692,2,0,2,3000,2001,1997,1,B2,292000,2011-12-29
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16058,23, ,B2,72-28 ALMEDA AVENUE                      ,            ,11692,2,0,2,3000,2001,1997,1,B2,183027,2011-04-11
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16058,70, ,B2,72-17 HILLMEYER AVENUE                   ,            ,11692,2,0,2,3000,2001,2000,1,B2,360000,2011-07-19
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16058,70, ,B2,72-17 HILLMEYER AVENUE                   ,            ,11692,2,0,2,3000,2001,2000,1,B2,226000,2011-01-04
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16064,31, ,B2,557 BEACH 72ND STREET                    ,            ,11692,2,0,2,3333,1932,2004,1,B2,255000,2011-08-25
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16064,35, ,B2,551 BEACH 72 STREET                      ,            ,11692,2,0,2,3333,1932,2004,1,B2,390000,2011-02-25
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16083,13, ,B2,341 BEACH 70 STREET                      ,            ,11692,2,0,2,2850,1576,1920,1,B2,245000,2011-09-02
